relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,solcom,Weitere Projekte,SOLCOM Client,"Remote, München",Remote,Freelance,,"R, Freelancer, Senior",German,"Freelancer, Senior",,Recent,https://www.solcom.de/de/projektportal/projektangebote/sap-business-analyst-m-w-d-104154,2026-02-17T10:54:44.950850+00:00
0,Tester | Germany,solcom,Bau­über­wa­cher Spe­zi­al­tief­bau (m/w/d),SOLCOM Client,"D8, München",On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/bauueberwacher-spezialtiefbau-m-w-d-103970,2026-02-17T10:54:44.951414+00:00
0,QA Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,"D2, GR Bremen",On-site,Freelance,,"R, Mil",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/quality-manager-marine-schiffbau-m-w-d-103733,2026-02-17T10:55:47.060122+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D2,On-site,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/system-engineer-marine-systeme-navigation-kommunikation-combat-m-w-d-104162,2026-02-17T10:56:49.096182+00:00
0,Test Engineer | Germany,solcom,Au­to­mo­ti­ve Sys­tem Test En­gi­neer (m/w/d),SOLCOM Client,D7,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/automotive-system-test-engineer-m-w-d-104143,2026-02-17T10:56:49.096391+00:00
0,Test Engineer | Germany,solcom,Re­si­dent En­gi­neer (Teil­zeit/part time 80%) (m/w/d),SOLCOM Client,International,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/resident-engineer-m-w-d-104064,2026-02-17T10:56:49.096493+00:00
0,Test Engineer | Germany,solcom,Weitere Projekte,SOLCOM Client,D4,Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/test-engineer-ict-m-w-d-103885,2026-02-17T10:56:49.096795+00:00
0,Testingenieur | Germany,solcom,Weitere Projekte,SOLCOM Client,"D7, GR Stuttgart",Remote,Freelance,,R,German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/testingenieur-m-w-d-104254,2026-02-17T10:57:51.027377+00:00
0,Testingenieur | Germany,solcom,Soft­ware­ent­wick­ler- Da­ten­er­fas­sungs­soft­ware für Prüf­stän­de (m/w/d),SOLCOM Client,Deutschland,On-site,Freelance,,R,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/softwareentwickler-datenerfassungssoftware-fuer-pruefstaende-m-w-d-103986,2026-02-17T10:57:51.027498+00:00
0,Test Automation | Germany,solcom,IT-Ex­per­te (De­ve­l­oper / Pro­ject Ana­lyst) (m/w/d),SOLCOM Client,D1,On-site,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/it-experte-developer-project-analyst-m-w-d-104379,2026-02-17T10:58:50.563235+00:00
0,Test Automation | Germany,solcom,Ser­vice­Now Plat­form Ar­chi­tect (m/w/d),SOLCOM Client,"D4, remote",Remote,Freelance,,,English,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/servicenow-platform-architect-m-w-d-103942,2026-02-17T10:58:50.563459+00:00
0,Python Test | Germany,solcom,Weitere Projekte,SOLCOM Client,"D8, Bodensee Region",Remote,Freelance,Python,"Linux, R",German,,,Recent,https://www.solcom.de/de/projektportal/projektangebote/messtechnikingenieur-optik-m-w-d-104217,2026-02-17T11:00:52.216030+00:00
