relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
6,AI Engineer Python | Slovakia,freelance_de,"Edge AI Optimization Engineer (AI/ML Compiler & Deployment) – Hamburg/München (Hybrid) – Start: ASAPFirmennamePytorchMaschinelles LernenInformations- und KommunikationstechnologieC++Softwareentwicklung / -programmierung02.03.2026München, DeutschlandRemote04.02.2026 11:21Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»",Freelance.de Client,Germany/Remote,Remote,Freelance,"C++, C",Pytorch,German,,,Recent,https://www.freelance.de/projekte/projekt-1252125-Edge-AI-Optimization-Engineer-AI-ML-Compiler-Deployment-Hamburg,2026-02-06T18:24:01.273062+00:00
6,Python Developer Remote | Slovakia,freelance_de,"Senior Developer / DevOps Engineer mit Schwerpunkt Migration Python → Flutter (Dart) (m/w/d)Firmenname01.01.2026Remote, DeutschlandRemote20.01.2026 13:11Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»",Freelance.de Client,Germany/Remote,Remote,Freelance,Python,"Devops, Senior, Dart",German,Senior,,Recent,https://www.freelance.de/projekte/projekt-1249100-Senior-Developer-DevOps-Engineer-mit-Schwerpunkt-Migration-Python-Flutter-Dart,2026-02-06T18:29:32.867213+00:00
6,Python Developer Remote | Slovakia,freelance_de,"Orchard Core Developer (Freelancer) – 6+ Monate (remote / hybrid möglich)Firmenname.NetSoftwareentwicklung / -programmierungInformations- und KommunikationstechnologieC#Orchard02.02.2026Mannheim, DeutschlandRemote19.01.2026 13:23Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»",Freelance.de Client,Germany/Remote,Remote,Freelance,C,"Freelancer, C#",German,Freelancer,,Recent,https://www.freelance.de/projekte/projekt-1248880-Orchard-Core-Developer-6-Monate-remote-hybrid-moeglich,2026-02-06T18:29:32.870202+00:00
6,Python Developer Remote | Slovakia,freelance_de,C++ Backend Developer ab April für 3+ Monate (95% Remote)FirmennameOracle DatabaseDatenbankenInformations- und KommunikationstechnologieC++Softwareentwicklung / -programmierung01.04.2026DeutschlandRemote04.02.2026 8:13Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»,Freelance.de Client,Germany/Remote,Remote,Freelance,"C++, C","R, Oracle",German,,,Recent,https://www.freelance.de/projekte/projekt-1252115-C-PlusPlus-Backend-Developer-ab-April-fuer-3-Monate-95,2026-02-06T18:29:32.871186+00:00
5,Senior Test Engineer | Slovakia,freelance_de,"Senior Lead Electrical EngineerFirmennameElektrotechnikTechniker Installation und Wartung elektrischer GeräteIngenieurwesenEnergietechnikReinigung und Wartung (sonstige)02.03.2026Dresden, Deutschland29.01.2026 10:28Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»",Freelance.de Client,Germany/Remote,Remote,Freelance,,"Lead, Senior",German,"Senior, Lead",,Recent,https://www.freelance.de/projekte/projekt-1251087-Senior-Lead-Electrical-Engineer,2026-02-06T18:21:16.880407+00:00
4,Firmware Test Engineer | Slovakia,freelance_de,"Test Automation Engineer (m/f/d)FirmennameIndustrial engineer05.02.2026Zug, Schweiz05.02.2026 18:46Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»",Freelance.de Client,Germany/Remote,Remote,Freelance,Test Automation,,German,,,Recent,https://www.freelance.de/projekte/projekt-1252587-Test-Automation-Engineer-m-f-d,2026-02-06T18:13:02.566884+00:00
4,Firmware Test Engineer | Slovakia,freelance_de,Automotive System Test Engineer (m/w/d)FirmennameTest AutomationQualitätsmanagement / Testing (IT)Informations- und KommunikationstechnologieEthernetTelekommunikation / Netzwerke05.02.2026D705.02.2026 18:43Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»,Freelance.de Client,Germany/Remote,Remote,Freelance,Test Automation,Ethernet,German,,,Recent,https://www.freelance.de/projekte/projekt-1252567-Automotive-System-Test-Engineer-m-w-d,2026-02-06T18:13:02.567226+00:00
4,Firmware Test Engineer | Slovakia,freelance_de,"Test Automation Engineer (m/w/d), (ID: 30101)Firmenname13.02.2026DeutschlandRemote30.01.2026 11:44Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»",Freelance.de Client,Germany/Remote,Remote,Freelance,Test Automation,,German,,,Recent,https://www.freelance.de/projekte/projekt-1250278-Test-Automation-Engineer-m-w-d-ID-30101,2026-02-06T18:13:02.567846+00:00
4,Firmware Test Engineer | Slovakia,freelance_de,"Test Automation Engineer (m/w/d) Android, (ID: 30103)Firmenname13.02.2026DeutschlandRemote30.01.2026 11:46Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»",Freelance.de Client,Germany/Remote,Remote,Freelance,Test Automation,,German,,,Recent,https://www.freelance.de/projekte/projekt-1250569-Test-Automation-Engineer-m-w-d-Android-ID-30103,2026-02-06T18:13:02.568428+00:00
4,AI Engineer Python | Slovakia,freelance_de,"Quality / Test Engineer – Conversational AI / Chatbots (Cognigy, GenAI, MCP) (m/w/d)FirmennameTestenQualitätsmanagement / Testing (IT)Informations- und KommunikationstechnologieTest AutomationProjektplanung01.02.2026Frankfurt am Main, DeutschlandRemote20.01.2026 15:08Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»",Freelance.de Client,Germany/Remote,Remote,Freelance,Test Automation,,German,,,Recent,https://www.freelance.de/projekte/projekt-1249156-Quality-Test-Engineer-Conversational-AI-Chatbots-Cognigy-GenAI-MCP,2026-02-06T18:24:01.275371+00:00
3,Firmware Test Engineer | Slovakia,freelance_de,Test Engineer ICT (m/w/d)FirmennameUnternehmensberater GeschäftsprozessoptimierungBetriebsingenieure und ExpertenIngenieurwesenElektromechanikerTechniker Installation und Wartung elektrischer Geräte23.01.2026D423.01.2026 11:20Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»,Freelance.de Client,Germany/Remote,Remote,Freelance,,,German,Expert,,Recent,https://www.freelance.de/projekte/projekt-1249950-Test-Engineer-ICT-m-w-d,2026-02-06T18:13:02.565990+00:00
3,Firmware Test Engineer | Slovakia,freelance_de,"Test ManagerFirmennameConfluenceProjektleitung / -management (IT)Informations- und KommunikationstechnologieJiraSoftwareentwicklung / -programmierung01.01.2026Zürich, Schweiz16.12.2025 15:11Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»",Freelance.de Client,Germany/Remote,Remote,Freelance,,"Jira, Confluence",German,Test Manager,,Recent,https://www.freelance.de/projekte/projekt-1245606-Test-Manager,2026-02-06T18:13:02.568742+00:00
3,Firmware Test Engineer | Slovakia,freelance_de,"Test ManagerFirmennameKommunikationmanagerManager Kommunikation, Marketing und ÖffentlichkeitsarbeitKommunikation, Marketing und ÖffentlichkeitsarbeitTest ManagementQualitätsmanagement / Testing (IT)01.01.2026Bern, Schweiz15.12.2025 10:37Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»",Freelance.de Client,Germany/Remote,Remote,Freelance,,,German,Test Manager,,Recent,https://www.freelance.de/projekte/projekt-1245378-Test-Manager,2026-02-06T18:13:02.569059+00:00
3,Test Automation Engineer | Slovakia,freelance_de,"Software Quality & Automation Engineer (m/w/d)FirmennameArbeitnehmerüberlassungJavaScript-EntwicklerProgrammiererInformations- und KommunikationstechnologieElektrotechniker EnergietechnikTechniker Installation und Wartung elektrischer Geräte01.02.2026München, Deutschland20.01.2026 13:22Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»",Freelance.de Client,Germany/Remote,Remote,Freelance,Javascript,,German,,,Recent,https://www.freelance.de/projekte/projekt-1249165-Software-Quality-Automation-Engineer-m-w-d,2026-02-06T18:15:45.875944+00:00
3,Embedded Software Tester | Slovakia,freelance_de,"Senior Embedded Software EngineerFirmenname01.02.2026Hamburg, Deutschland19.12.2025 11:41Treffer: zur Anzeige von weiteren Details benötigen Sie einen Premiumaccount.Jetzt upgraden»",Freelance.de Client,Germany/Remote,Remote,Freelance,,Senior,German,Senior,,Recent,https://www.freelance.de/projekte/projekt-1246180-Senior-Embedded-Software-Engineer,2026-02-06T18:18:30.684108+00:00
