relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,hays,Energy Trading Senior Tester (Only Nearshore) (m/f/d),Hays Client,Remote,Remote,Contract,,Senior,English,Senior,,28.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-energy-trading-senior-tester-only-nearshore-remote-872036/1,2026-04-30T11:48:25.251787+00:00
14,Tester | Germany,hays,Test Manager – Polarion / Defense(m/w/d),Hays Client,Landkreis Rottweil,On-site,Contract,,,English,Test Manager,,17.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-test-manager--polarion-defense-landkreis-rottweil-870206/1,2026-04-30T11:48:25.252376+00:00
14,Tester | Germany,hays,Experte SAP Testing (m/w/d),Hays Client,Hybrid,Hybrid,Contract,Go,"Expert, Jira",German,Expert,,16.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-experte-sap-testing-hybrid-870000/1,2026-04-30T11:48:25.252655+00:00
14,QA Engineer | Germany,hays,Senior Backend Software Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Java,"Microservices, Postgresql, Senior, Mongodb, Kubernetes, Spring Boot",German,Senior,,03.02.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-backend-software-engineer-hamburg-846394/1,2026-04-30T11:48:48.276962+00:00
14,Test Engineer | Germany,hays,HV Commissioning Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,,"Lead, Senior, R",German,"Lead, Senior",,30.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-hv-commissioning-engineer-hamburg-868402/1,2026-04-30T11:49:13.363276+00:00
14,Test Engineer | Germany,hays,Lead DevSecOps Engineer (m/w/d),Hays Client,Nordrhein-Westfalen,On-site,Contract,,Lead,German,Lead,,19.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-lead-devsecops-engineer-nordrhein-westfalen-866935/1,2026-04-30T11:49:13.363618+00:00
14,Test Engineer | Germany,hays,Senior Test Automation Engineer (m/w/d),Hays Client,Hamburg,On-site,Contract,Test Automation,Senior,German,Senior,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-test-automation-engineer-hamburg-845831/1,2026-04-30T11:49:13.364473+00:00
14,Testingenieur | Germany,hays,Senior HiL Testingenieur (Motoren) (m/w/d),Hays Client,Friedrichshafen,On-site,Contract,Hil,Senior,German,Senior,,22.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-hil-testingenieur-motoren-friedrichshafen-871448/1,2026-04-30T11:49:43.206014+00:00
14,Test Automation | Germany,hays,Sales Operation Lead (m/w/d),Hays Client,Neuss,On-site,Contract,,"Lead, R",German,Lead,,10.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-sales-operation-lead-neuss-862374/1,2026-04-30T11:50:08.315878+00:00
14,Test Automation | Germany,hays,Senior Prozessingenieur (m/w/d),Hays Client,München,On-site,Contract,,"Senior, R",German,Senior,,03.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-prozessingenieur-muenchen-852498/1,2026-04-30T11:50:08.316690+00:00
14,Python Test | Germany,hays,Digital Verification UWB Expert (m/f/d),Hays Client,Remote,Remote,Contract,Python,"Lead, Matlab, Expert",English,"Expert, Lead",,02.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-digital-verification-uwb-expert-remote-868600/1,2026-04-30T11:50:55.953355+00:00
14,Python Test | Germany,hays,Senior Python Entwickler (m/w/d),Hays Client,München,On-site,Contract,Python,"Senior, R, Fastapi",German,Senior,,11.03.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-python-entwickler-muenchen-865759/1,2026-04-30T11:50:55.954782+00:00
14,Firmware Engineer | Germany,hays,Senior Embedded Security Engineer – AI & Edge Platforms (m/f/d),Hays Client,Gratkorn,On-site,Contract,Firmware,Senior,English,Senior,,23.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-senior-embedded-security-engineer--ai-edge-platforms-gratkorn-871424/1,2026-04-30T11:51:22.734337+00:00
0,Tester | Germany,hays,Operativer Tester Funktionserprobung Gesamtmaschine (m/w/d),Hays Client,Region Koblenz,On-site,Contract,,R,German,,,30.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-operativer-tester-funktionserprobung-gesamtmaschine-region-koblenz-872718/1,2026-04-30T11:48:25.251467+00:00
0,Tester | Germany,hays,RF/HF Testingenieur  (m/w/d),Hays Client,Backnang,On-site,Contract,,"R, Intern",German,,,23.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-rf-hf-testingenieur--backnang-871417/1,2026-04-30T11:48:25.252076+00:00
0,Tester | Germany,hays,Entwicklungsingenieur Lichtelektronik/ Lichtfunktion (m/w/d),Hays Client,Weissach,On-site,Contract,,R,German,,,13.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-entwicklungsingenieur-lichtelektronik--lichtfunktion-weissach-869818/1,2026-04-30T11:48:25.252918+00:00
0,Tester | Germany,hays,PCS 7 Softwarelead  (m/w/d),Hays Client,Köln,On-site,Contract,,,German,,,10.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-pcs-7-softwarelead--koeln-869768/1,2026-04-30T11:48:25.253203+00:00
0,Tester | Germany,hays,Software Test Engineer  (m/w/d),Hays Client,Gilching,On-site,Contract,,R,German,,,10.04.26,https://www.hays.de/jobsuche/stellenangebote-jobs-detail-software-test-engineer--gilching-860927/1,2026-04-30T11:48:25.253494+00:00
