relevance_score,search_criteria,provider,title,company,location,work_location_type,employment_type,matching_skills,missing_skills,detected_languages,matched_roles,salary_hint,posted_at_relative,link,scraped_at
14,Tester | Germany,freelancermap,mehrere Senior Freelancer (m/w/d) gesucht – .NET / Access / VBA / SQL / COBOL / SAS / Java,Freelancermap Client,Bonn Deutschland,On-site,Freelance,Java,"Senior, Sql, Freelancer",English,"Freelancer, Senior",,01.09.2026,https://www.freelancermap.de/projekt/mehrere-senior-freelancer-m-w-d-gesucht-net-access-vba-sql-cobol-sas-java,2026-09-07T16:00:58.529081+00:00
14,Tester | Germany,freelancermap,Senior Fullstack Entwickler (m/w/d) - Wertpapierhandel | Frankfurt | Befristete Festanstellung,Freelancermap Client,Frankfurt am Main Deutschland,On-site,Freelance,,Senior,English,Senior,,25.08.2026,https://www.freelancermap.de/projekt/senior-fullstack-entwickler-m-w-d-wertpapierhandel-frankfurt-befristete-festanstellung-3039586,2026-09-07T16:00:58.529302+00:00
14,Tester | Germany,freelancermap,FREELANCE // Senior Physical Security Specialist // AB SOFORT // 3 Monate // Energiewirtschaft,Freelancermap Client,Stuttgart Deutschland,On-site,Freelance,,Senior,English,Senior,,16:00,https://www.freelancermap.de/projekt/freelance-senior-physical-security-specialist-ab-sofort-3-monate-energiewirtschaft,2026-09-07T16:00:58.529387+00:00
14,Tester | Germany,freelancermap,Infor M3 Consultant / Allrounder (m/f/d)_remote/international_on demand_12M++,Freelancermap Client,Mannheim Deutschland,Remote,Freelance,,Consultant,English,Consultant,,15:59,https://www.freelancermap.de/projekt/infor-m3-consultant-allrounder-m-f-d-remote-international-on-demand-12m-3044750,2026-09-07T16:00:58.529471+00:00
14,Tester | Germany,freelancermap,Senior SAP Ariba Expert (m/f/d)_Stuttgart/Remote_6M++,Freelancermap Client,Stuttgart Deutschland,Remote,Freelance,,"Senior, Expert",English,"Expert, Senior",,15:58,https://www.freelancermap.de/projekt/senior-sap-ariba-expert-m-f-d-stuttgart-remote-6m-3044749,2026-09-07T16:00:58.529558+00:00
14,Tester | Germany,freelancermap,Consultant Microsoft Dynamics 365 Business Central (m/w/d)_GR Herford_6M++,Freelancermap Client,Herford Deutschland,On-site,Freelance,,Consultant,English,Consultant,,15:57,https://www.freelancermap.de/projekt/consultant-microsoft-dynamics-365-business-central-m-w-d-gr-herford-6m-3044748,2026-09-07T16:00:58.529636+00:00
14,Tester | Germany,freelancermap,Inhouse Consultant (m/w/d) SAP S/4 Beschaffung & Forecasting_GR Köln_6M+++,Freelancermap Client,Köln Deutschland,On-site,Freelance,,Consultant,English,Consultant,,15:51,https://www.freelancermap.de/projekt/inhouse-consultant-m-w-d-sap-s-4-beschaffung-und-forecasting-gr-koeln-6m-3044741,2026-09-07T16:00:58.530209+00:00
14,Tester | Germany,freelancermap,Senior SAP PP Consultant,Freelancermap Client,Hanover Deutschland,On-site,Freelance,,"Senior, Consultant",English,"Consultant, Senior",,15:46,https://www.freelancermap.de/projekt/senior-sap-pp-consultant-3044738,2026-09-07T16:00:58.530438+00:00
0,Tester | Germany,freelancermap,Freelance Immobilienberater / Kundenbetreuung & Objektsuche – Rhein-Main,Freelancermap Client,Frankfurt am Main Deutschland,Remote,Freelance,,,English,,,23.08.2026,https://www.freelancermap.de/projekt/freelance-immobilienberater-kundenbetreuung-und-objektsuche-rhein-main,2026-09-07T16:00:58.529201+00:00
0,Tester | Germany,freelancermap,Prozessmodellierungs-Spezialist/BPMN 2.0 (m/w/d) Wiesbaden/remote,Freelancermap Client,Wiesbaden Deutschland,Remote,Freelance,,,English,,,15:56,https://www.freelancermap.de/projekt/prozessmodellierungs-spezialist-bpmn-2-0-m-w-d-wiesbaden-remote-3044747,2026-09-07T16:00:58.529715+00:00
0,Tester | Germany,freelancermap,Technische Projektunterstützung Gebäudeautomation,Freelancermap Client,Baden-Württemberg Deutschland,On-site,Freelance,,,English,,,15:55,https://www.freelancermap.de/projekt/technische-projektunterstuetzung-gebaeudeautomation,2026-09-07T16:00:58.529809+00:00
0,Tester | Germany,freelancermap,LabVIEW Test Equipment Engineer (m/w/d),Freelancermap Client,Lingen Deutschland,On-site,Freelance,,,English,,,15:54,https://www.freelancermap.de/projekt/labview-test-equipment-engineer-m-w-d,2026-09-07T16:00:58.529884+00:00
